,item_id,product,condition,accepts_mercadopago,category_id,seller_address.state.name,title,health,warranty,original_price,start_time,catalog_product_id,available_quantity,official_store_id,sold_quantity,domain_id,price,status,listing_type_id,buying_mode,seller_id,initial_quantity,tags,seller_address.country.name,base_price,questions_total,users_seller_reputation.transactions.completed,users_seller_reputation.power_seller_status,users_seller_reputation.level_id,users_seller_reputation.transactions.ratings.negative,users_seller_reputation.transactions.canceled,users_seller_reputation.transactions.ratings.positive,users_nickname,users_seller_reputation.transactions.ratings.neutral,users_user_type
10,MLA885869161,Motorola G6,new,True,MLA1055,Buenos Aires,Moto G6 Plus 64 Gb Nimbus 4 Gb Ram,,Garantía de fábrica: 12 meses,,2020-10-28T20:04:33.000Z,MLA9452524,1,2227,4,MLA-CELLPHONES,35998.8,active,gold_special,buy_it_now,183212103,24,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,35998.8,16.0,13392.0,,3_yellow,0.04,1494.0,0.93,PEROZZI_E_HIJO,0.03,brand
11,MLA902033509,Motorola G6,used,True,MLA1055,Capital Federal,Moto G6 Plus |+caja Completa|-no Prende ,0.66,Sin garantía,,2020-12-22T22:49:02.000Z,MLA9452522,1,,0,MLA-CELLPHONES,11500.0,active,gold_special,buy_it_now,156434130,1,"['dragged_bids_and_visits', 'poor_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,11500.0,22.0,7.0,,4_light_green,0.0,7.0,1.0,MONICATORREZ564,0.0,normal
12,MLA900886052,Motorola G6,used,True,MLA1055,Capital Federal,Celular Motorola G6 Play,0.66,Sin garantía,,2020-12-13T07:32:16.000Z,MLA9452522,1,,0,MLA-CELLPHONES,16000.0,active,gold_special,buy_it_now,6778245,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,16000.0,27.0,15.0,,5_green,0.0,1.0,1.0,PAVONELLI,0.0,normal
13,MLA902102999,Motorola G6,used,True,MLA1055,Capital Federal,Moto G6 32 Gb Usado,0.77,Sin garantía,,2020-12-23T17:44:46.000Z,MLA9652753,1,,0,MLA-CELLPHONES,16000.0,active,gold_special,buy_it_now,184895209,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,16000.0,,491.0,silver,5_green,0.0,21.0,0.98,WANDERBOI,0.02,normal
14,MLA899797530,Motorola G6,new,True,MLA1055,Capital Federal,Celular Motorola Xt1922-4 - Moto G6 Play - 32gb - Dorado,0.7,Garantía del vendedor: 6 meses,,2020-12-03T13:37:24.000Z,MLA9413721,1,,5,MLA-CELLPHONES,19000.0,active,gold_special,buy_it_now,79599554,10,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,19000.0,,73.0,,5_green,0.0,4.0,1.0,VERKOFELECTRONICS,0.0,normal
15,MLA844157293,Motorola G6,new,True,MLA1055,Capital Federal,Motorola Moto G6 Bueno Indigo Liberado,0.72,Garantía del vendedor: 90 días,,2020-03-16T20:34:25.000Z,MLA9652753,1,,5,MLA-CELLPHONES,18999.0,active,gold_special,buy_it_now,304248120,11,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,18999.0,,15623.0,,5_green,0.05,2791.0,0.92,ZELUCASH ARG,0.03,normal
16,MLA900570213,Motorola G6,used,True,MLA1055,Buenos Aires,Celular Moto G6 Para Repuesto / No Prende,0.66,Sin garantía,,2020-12-10T19:52:50.000Z,MLA9652753,1,,0,MLA-CELLPHONES,8990.0,active,gold_special,buy_it_now,98247283,1,"['poor_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,8990.0,6.0,860.0,silver,5_green,0.0,111.0,0.99,SOLO OPORTUNIDADES!!,0.01,normal
17,MLA837480456,Motorola G6,new,True,MLA1055,Capital Federal,Motorola Moto G6 Plus Muy Bueno Indigo Liberado,0.72,Garantía del vendedor: 90 días,,2020-02-04T12:48:36.000Z,MLA9452522,1,,25,MLA-CELLPHONES,28299.0,active,gold_special,buy_it_now,304248120,37,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,28299.0,,15623.0,,5_green,0.05,2791.0,0.92,ZELUCASH ARG,0.03,normal
18,MLA878673136,Motorola G6,new,True,MLA1055,Capital Federal,Motorola Moto G6 Muy Bueno Indigo Liberado,0.8,Garantía del vendedor: 90 días,,2020-09-14T18:09:43.000Z,MLA9652753,1,,1,MLA-CELLPHONES,21299.0,active,gold_special,buy_it_now,304248120,3,"['catalog_product_candidate', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,21299.0,,15623.0,,5_green,0.05,2791.0,0.92,ZELUCASH ARG,0.03,normal
19,MLA904510711,Motorola G6,new,True,MLA1055,Capital Federal,Moto G6 32 Gb Plata 3 Gb Ram Tienda Hyt,0.8,Garantía del vendedor: 6 meses,,2021-01-16T20:42:00.000Z,MLA9652753,1,,0,MLA-CELLPHONES,21000.0,active,gold_special,buy_it_now,216203805,1,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,21000.0,0.0,16823.0,platinum,5_green,0.02,1364.0,0.97,HYT.COM.AR,0.01,normal
20,MLA900491668,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung Galaxy S20 Fe 128 Gb Cloud Navy 6 Gb Ram,,Garantía de fábrica: 12 meses,,2020-12-10T12:54:10.000Z,MLA16211370,500,1550,500,MLA-CELLPHONES,79999.0,active,gold_pro,buy_it_now,608846165,2600,"['good_quality_picture', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment']",Argentina,79999.0,510.0,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
21,MLA885848688,Samsung S20,new,True,MLA1055,Capital Federal,Samsung Galaxy S20+ 128 Gb Cosmic Gray 8 Gb Ram,,Garantía de fábrica: 12 meses,,2020-10-28T19:27:22.000Z,MLA15482172,1,1425,25,MLA-CELLPHONES,119999.0,active,gold_special,buy_it_now,287440338,39,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,119999.0,,17846.0,platinum,5_green,0.03,1065.0,0.95,TIENDA DIGGIT,0.02,brand
22,MLA903779886,Samsung S20,new,True,MLA1055,Capital Federal,Samsung Galaxy S20 Ultra 128 Gb Cosmic Black 12 Gb Ram,,Garantía de fábrica: 12 meses,,2021-01-10T21:30:32.000Z,MLA15764703,1,,5,MLA-CELLPHONES,153999.0,active,gold_special,buy_it_now,79076726,6,"['brand_verified', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,153999.0,11.0,75.0,,5_green,0.0,1.0,1.0,GAPRIM,0.0,normal
23,MLA896352575,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung S20 Fan Edition Azul,1,Garantía de fábrica: 12 meses,,2020-11-09T12:46:34.000Z,MLA16144128,500,1550,500,MLA-CELLPHONES,79999.0,active,gold_pro,buy_it_now,608846165,3190,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment']",Argentina,79999.0,1410.0,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
24,MLA896353418,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung S20 Fan Edition Verde,1,Garantía de fábrica: 12 meses,,2020-11-09T12:46:35.000Z,MLA16144128,500,1550,500,MLA-CELLPHONES,79999.0,active,gold_pro,buy_it_now,608846165,1984,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment']",Argentina,79999.0,919.0,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
25,MLA898866036,Samsung S20,new,True,MLA1055,Capital Federal,Celular Samsung Galaxy S20 Fe (fan Edition) Liberado Rojo,0.9,Garantía de fábrica: 12 meses,,2020-11-26T14:00:06.000Z,MLA16144128,1,,0,MLA-CELLPHONES,74999.0,active,gold_special,buy_it_now,172753273,12,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,74999.0,62.0,30872.0,platinum,5_green,0.01,1923.0,0.98,DEVENTAS_TECH_STORE,0.01,normal
26,MLA896352574,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung S20 Fan Edition ,1,Garantía de fábrica: 12 meses,,2020-11-09T12:46:34.000Z,MLA16144128,100,1550,200,MLA-CELLPHONES,79999.0,active,gold_pro,buy_it_now,608846165,348,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Argentina,79999.0,138.0,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
27,MLA896352576,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung S20 Fan Edition,1,Garantía de fábrica: 12 meses,,2020-11-09T12:46:34.000Z,MLA16144128,250,1550,250,MLA-CELLPHONES,79999.0,active,gold_pro,buy_it_now,608846165,792,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Argentina,79999.0,,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
28,MLA904219481,Samsung S20,new,True,MLA1055,Capital Federal,Samsung Galaxy S20 Fe * Nuevos * Libres * Gtia * Tope Hogar,0.9,Garantía de fábrica: 12 meses,,2021-01-14T16:20:14.000Z,MLA16144128,1,,2,MLA-CELLPHONES,72900.0,active,gold_special,buy_it_now,174667217,5,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,72900.0,7.0,3455.0,platinum,5_green,0.02,239.0,0.97,TOPE HOGAR,0.01,normal
29,MLA903632138,Samsung S20,new,True,MLA1055,Buenos Aires,Samsung Galaxy S20+ 128 Gb Cosmic Black 8 Gb Ram,0.8,Garantía de fábrica: 1 años,,2021-01-08T22:02:21.000Z,MLA15482170,1,,1,MLA-CELLPHONES,139999.0,active,gold_special,buy_it_now,270044118,2,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,139999.0,,21.0,,5_green,0.05,6.0,0.95,CLICKTRONIC11,0.0,normal
30,MLA832834395,Chromecast,new,True,MLA352001,Capital Federal, Google Chromecast 3rd Generation  Full Hd  Carbón,,Garantía del vendedor: 12 meses,,2020-01-03T11:56:29.000Z,MLA13841393,500,,500,MLA-STREAMING_MEDIA_DEVICES,5820.0,active,gold_special,buy_it_now,255318143,5379,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,5820.0,979.0,19585.0,platinum,5_green,0.02,895.0,0.96,LMS-TIENDAVIRTUAL,0.02,normal
31,MLA903487324,Chromecast,new,True,MLA352001,Capital Federal, Chromecast With Google Tv  De Voz 4k 8gb  Snow Con Memoria Ram De 2gb,,Garantía del vendedor: 3 meses,,2021-01-07T19:50:48.000Z,MLA16233185,500,,5,MLA-STREAMING_MEDIA_DEVICES,14800.0,active,gold_special,buy_it_now,284824585,1019,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,14800.0,13.0,16665.0,platinum,5_green,0.05,1703.0,0.93,SKY.VISION ELECTRONICA,0.02,normal
32,MLA832082627,Chromecast,new,True,MLA352001,Capital Federal, Google Chromecast 2nd Generation  Full Hd 256mb  Negro Con Memoria Ram De 512mb,,,,2019-12-27T21:33:05.000Z,MLA6125039,1,,500,MLA-STREAMING_MEDIA_DEVICES,5799.0,active,gold_special,buy_it_now,70470402,783,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Argentina,5799.0,91.0,2220.0,platinum,5_green,0.01,95.0,0.98,COOL-TECH--,0.01,normal
33,MLA898700662,Chromecast,new,True,MLA352001,Capital Federal, Google Chromecast Ultra  4k  Negro Con Memoria Ram De 1gb,,Garantía del vendedor: 3 meses,,2020-11-25T14:11:57.000Z,MLA6304839,1,,25,MLA-STREAMING_MEDIA_DEVICES,14200.0,active,gold_special,buy_it_now,309453406,57,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,14200.0,32.0,25691.0,platinum,5_green,0.05,2560.0,0.94,BAZA 10,0.01,normal
34,MLA782706781,Chromecast,new,True,MLA352001,Capital Federal,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,0.88,Garantía de fábrica: 1 años,,2019-04-22T15:38:33.000Z,MLA13841392,1,,500,MLA-STREAMING_MEDIA_DEVICES,5749.0,active,gold_special,buy_it_now,69526727,6227,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,5749.0,,28145.0,platinum,5_green,0.02,1467.0,0.96,ELECTRONIC-MARKET,0.02,normal
35,MLA759895787,Chromecast,new,True,MLA352001,Capital Federal,Google Chromecast 3 Generacion Smart Tv Original + Fuente,0.9,Garantía del vendedor: 12 meses,,2018-11-26T17:57:06.000Z,MLA13841393,500,,500,MLA-STREAMING_MEDIA_DEVICES,5709.0,active,gold_special,buy_it_now,86898163,3083,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,5709.0,,27378.0,platinum,5_green,0.01,1415.0,0.98,OFERTAS INFORMATICAS,0.01,normal
36,MLA681084500,Chromecast,new,True,MLA352001,Capital Federal,Google Chromecast 3 Smart Tv Hdmi Usb Nuevo Modelo Gtia ,0.83,Garantía del vendedor: 6 meses,,2017-08-31T18:17:03.000Z,MLA13841392,250,,500,MLA-STREAMING_MEDIA_DEVICES,5739.0,active,gold_special,buy_it_now,255318143,6268,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,5739.0,3649.0,19585.0,platinum,5_green,0.02,895.0,0.96,LMS-TIENDAVIRTUAL,0.02,normal
37,MLA886510335,Chromecast,new,True,MLA352001,Capital Federal,Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv,0.8,Garantía del vendedor: 3 meses,17999,2020-11-02T20:16:28.000Z,MLA16233184,1,,258,MLA-STREAMING_MEDIA_DEVICES,16299.0,active,gold_special,buy_it_now,119914491,358,"['catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Argentina,16299.0,198.0,16824.0,platinum,5_green,0.03,1886.0,0.95,GAMESTATION ARG,0.02,normal
38,MLA897609943,Chromecast,new,True,MLA352001,Capital Federal,Chromecast 4ta Generacion Con Google Tv + Control Remoto ,0.9,Garantía del vendedor: 6 meses,,2020-11-17T18:13:55.000Z,MLA16233184,250,,250,MLA-STREAMING_MEDIA_DEVICES,14999.0,active,gold_special,buy_it_now,153491318,614,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",Argentina,14999.0,,13382.0,platinum,5_green,0.01,811.0,0.98,DELLOREAN,0.01,normal
39,MLA856774527,Chromecast,new,True,MLA352001,Capital Federal,Google Chromecast 3ra Generacion 2018 Smart Tv Bulk Sin Caja,0.83,Garantía del vendedor: 6 meses,5999,2020-05-20T18:29:16.000Z,MLA13841392,500,,500,MLA-STREAMING_MEDIA_DEVICES,4899.0,active,gold_special,buy_it_now,309453406,3149,"['catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,4899.0,,25691.0,platinum,5_green,0.05,2560.0,0.94,BAZA 10,0.01,normal
40,MLA855055612,Notebook,new,True,MLA1652,Capital Federal,Notebook Exo Smart E19 Intel Celeron Ram4gb Ssd64gb Win10 14,1,Garantía de fábrica: 12 meses,46799,2020-05-12T19:14:44.000Z,MLA16368693,500,341,5000,MLA-NOTEBOOKS,39999.0,active,gold_pro,buy_it_now,180214913,9710,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Argentina,39999.0,,24275.0,platinum,5_green,0.04,2000.0,0.94,EXO SA,0.02,brand
41,MLA879479401,Notebook,new,True,MLA1652,Buenos Aires,Notebook Core I3 14'' Memoria 8gb Almacenaje 1tb W10 - Tedge,1,Garantía de fábrica: 12 meses,112999,2020-09-18T21:32:38.000Z,,250,1824,5,MLA-NOTEBOOKS,94999.0,active,gold_pro,buy_it_now,417972986,500,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Argentina,94999.0,16.0,306624.0,platinum,5_green,0.03,14260.0,0.96,TEMAKLAARG,0.01,brand
42,MLA813103277,Notebook,new,True,MLA1652,Capital Federal,Notebook Cx Intel Atom 4gb Ram 64gb Ssd Full Hd 1080p Win 10,0.87,Garantía de fábrica: 12 meses,47999,2019-09-05T17:57:09.000Z,MLA15480111,1,,250,MLA-NOTEBOOKS,31999.0,active,gold_special,buy_it_now,25704919,465,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,31999.0,726.0,46977.0,platinum,5_green,0.03,5507.0,0.96,ELECTRO-SHOWS,0.01,normal
43,MLA879933423,Notebook,new,True,MLA1652,Capital Federal,Notebook Lenovo S145 Intel Celeron N4000 15.6 4gb 1tb Oferta,0.9,Garantía de fábrica: 12 meses,61999,2020-09-21T20:22:44.000Z,MLA16240087,250,,500,MLA-NOTEBOOKS,48999.0,active,gold_special,buy_it_now,174556876,1293,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,48999.0,,407260.0,platinum,5_green,0.03,27731.0,0.94,OVERHARD DIGITAL,0.03,normal
44,MLA885889339,Notebook,new,True,MLA1652,Capital Federal,Notebook Hp 240 G7 Intel Dual Core 8gb 500 Gb Windows 10,0.77,Garantía del vendedor: 12 meses,,2020-10-28T21:36:18.000Z,,500,,250,MLA-NOTEBOOKS,54999.0,active,gold_special,buy_it_now,215299808,1171,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,54999.0,464.0,122147.0,platinum,5_green,0.03,6504.0,0.95,MALL WEB,0.02,normal
45,MLA834652518,Notebook,new,True,MLA1652,Capital Federal,Notebook Exo Smart E25 4gb 500gb W10 14 Hdmi Usb,1,Garantía de fábrica: 12 meses,62399,2020-01-16T15:35:29.000Z,MLA15535054,50,341,5000,MLA-NOTEBOOKS,52999.0,active,gold_pro,buy_it_now,180214913,5430,"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Argentina,52999.0,,24275.0,platinum,5_green,0.04,2000.0,0.94,EXO SA,0.02,brand
46,MLA884925033,Notebook,new,True,MLA1652,Capital Federal,Notebook Hp Amd Ryzen 3 3250u 4gb 128gb Ssd Windows 10,0.87,Garantía de fábrica: 12 meses,75999,2020-10-22T13:07:12.000Z,MLA16041765,50,,500,MLA-NOTEBOOKS,60999.0,active,gold_special,buy_it_now,174556876,585,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,60999.0,493.0,407260.0,platinum,5_green,0.03,27731.0,0.94,OVERHARD DIGITAL,0.03,normal
47,MLA895890603,Notebook,new,True,MLA1652,Capital Federal,Notebook Hp Gamer 16-a0061la I5 10300h 8gb 512gb 1650 Win 10,1,Garantía de fábrica: 12 meses,145999,2020-11-05T16:37:13.000Z,MLA16590654,1,317,100,MLA-NOTEBOOKS,138699.0,active,gold_pro,buy_it_now,260474743,148,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,138699.0,,11581.0,platinum,5_green,0.02,607.0,0.96,TIENDAOFICIALHP-DM,0.02,brand
48,MLA845307107,Notebook,new,True,MLA1652,Capital Federal,Notebook Gadnic Glow Cloudbook Intel 4gb Windows 10 + Funda,0.75,Garantía del vendedor: 12 meses,55399,2020-03-25T18:57:50.000Z,,100,945,250,MLA-NOTEBOOKS,35999.0,active,gold_special,buy_it_now,37133205,726,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Argentina,35999.0,943.0,148483.0,platinum,5_green,0.02,9348.0,0.97,SALES COM,0.01,brand
49,MLA897829960,Notebook,new,True,MLA1652,Capital Federal,Notebook Hp 255 G7 Amd Dual Core A9 9425 8gb 1tb Radeon R5  ,0.88,Garantía de fábrica: 12 meses,,2020-11-19T00:04:13.000Z,MLA16264687,500,,250,MLA-NOTEBOOKS,52999.0,active,gold_special,buy_it_now,215299808,1270,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,52999.0,,122147.0,platinum,5_green,0.03,6504.0,0.95,MALL WEB,0.02,normal
